Dataset Size,Epsilon,Proportions,Init Mode,Coverage Ratio,Log Coverage,Task Success,On-Data Quality,Optimal States Quality,Final Reward
20000,0.3,70% Eps-Greedy / 30% Random,Fixed,65.5327359976813,1.8164583001687256,-1.329697565561607,1.303966792507993,0.20962723103818529,0.13296975655616067
24000,0.3,70% Eps-Greedy / 30% Random,Fixed,65.53500245590098,1.8164733200402818,-1.3900946190464325,1.4009171121661033,0.2209250898519566,0.13900946190464322
8000,0.4,70% Eps-Greedy / 30% Random,Fixed,65.61629422456434,1.81701169933152,-1.353123931650473,1.3476913230025802,0.2140577770148869,0.13531239316504728
12000,0.4,70% Eps-Greedy / 30% Random,Fixed,65.68465307439307,1.8174639104474777,-1.5865753069729198,1.6135718813493618,0.22127035291718314,0.15865753069729194
16000,0.4,70% Eps-Greedy / 30% Random,Fixed,65.70833988357865,1.8176204949106678,-1.7825131268579077,1.7783915114588695,0.2160864995565101,0.17825131268579072
20000,0.4,70% Eps-Greedy / 30% Random,Fixed,65.61624446499214,1.8170113699877786,-1.2496603239417476,1.224103473132178,0.21453452319060076,0.12496603239417474
24000,0.4,70% Eps-Greedy / 30% Random,Fixed,65.59961995848943,1.8169013233633275,-1.3683620144919628,1.3016416631895829,0.2111862490960912,0.13683620144919625
8000,0.5,70% Eps-Greedy / 30% Random,Fixed,65.67018640994395,1.8173682490680894,-1.7928526130826672,2.3480001476974,0.4867363593110159,0.1792852613082667
12000,0.5,70% Eps-Greedy / 30% Random,Fixed,65.75911545983061,1.8179559627817168,-1.5583436570459568,1.5157012097918574,0.2247729086343753,0.15583436570459563
16000,0.5,70% Eps-Greedy / 30% Random,Fixed,65.72197202288407,1.8177105861964944,-1.4077305647669767,1.38217233511321,0.22886848120215503,0.14077305647669763
20000,0.5,70% Eps-Greedy / 30% Random,Fixed,65.79585097719622,1.8181985082868926,-1.1835914118228557,1.1834003312270263,0.22779797569279867,0.11835914118228553
24000,0.5,70% Eps-Greedy / 30% Random,Fixed,65.79279863651608,1.818178360428876,-1.1817379339880734,1.1812718164418865,0.22423073972350535,0.1181737933988073
