Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
16000,0.1,20% Eps-Greedy / 80% Random,50/50,1,5.016560946213097,0.7004060928593545,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.1,20% Eps-Greedy / 80% Random,50/50,1,4.951724596707675,0.6947564822446546,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.3,20% Eps-Greedy / 80% Random,50/50,1,6.265470718787199,0.7969537046824882,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
8000,0.3,20% Eps-Greedy / 80% Random,50/50,1,6.626292390574678,0.821270595568198,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.3,20% Eps-Greedy / 80% Random,50/50,1,5.744340854069867,0.7592402018905295,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.3,20% Eps-Greedy / 80% Random,50/50,1,5.6610292526859,0.752895399054748,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.3,20% Eps-Greedy / 80% Random,50/50,1,5.954286348269244,0.7748297165187836,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.5,20% Eps-Greedy / 80% Random,50/50,1,12.894561160510767,1.1104065664187668,1,-0.012256912615440175,0.016671186603066362,0.01667118660306635
8000,0.5,20% Eps-Greedy / 80% Random,50/50,1,10.230205551439411,1.0098843599056153,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.5,20% Eps-Greedy / 80% Random,50/50,1,9.40259350454794,0.9732476609784874,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.5,20% Eps-Greedy / 80% Random,50/50,1,8.370858897126624,0.9227700213320033,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
20000,0.5,20% Eps-Greedy / 80% Random,50/50,1,8.98975925917885,0.9537480617209807,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
4000,0.7,20% Eps-Greedy / 80% Random,50/50,1,76.09460647029188,1.8813538753881636,0,-0.1,2.1058340972294363,2.018091009844876
8000,0.7,20% Eps-Greedy / 80% Random,50/50,1,72.50577423175848,1.860372594393507,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
12000,0.7,20% Eps-Greedy / 80% Random,50/50,1,71.06844258933778,1.8516767983146982,1,-0.012256912615440175,-2.160329852736201e-18,-1.0802237181239982e-17
16000,0.7,20% Eps-Greedy / 80% Random,50/50,1,75.1394961992155,1.8758682788477519,0,-0.1,2.1058340972294363,2.0180910098448765
20000,0.7,20% Eps-Greedy / 80% Random,50/50,1,51.452990504389966,1.7114106215048905,1,-0.012256912615440175,0.04684603435461646,0.046846034354616456
4000,0.9,20% Eps-Greedy / 80% Random,50/50,1,98.55365724482124,1.9936727452240244,0,-2.4436548100000004,10.28016295492047,7.848765057535912
8000,0.9,20% Eps-Greedy / 80% Random,50/50,1,94.35731491114473,1.9747755738427968,0,-0.1,18.493290307632577,18.405547220248025
12000,0.9,20% Eps-Greedy / 80% Random,50/50,1,93.61487903235164,1.971344880448548,0,-0.1,2.1058340972294363,2.0180910098448765
16000,0.9,20% Eps-Greedy / 80% Random,50/50,1,93.11269125802761,1.9690088793453326,0,-0.1,4.792633492939261,4.704890405554702
20000,0.9,20% Eps-Greedy / 80% Random,50/50,1,90.77840306238511,1.9579825385379792,0,-0.1,16.07791557728664,15.990172489902081
4000,0.1,0% Eps-Greedy / 100% Random,50/50,1,134.86532703703796,2.1299003098497375,0,-0.1,4.792633492939261,4.704890405554702
8000,0.1,0% Eps-Greedy / 100% Random,50/50,1,112.72960362212787,2.052037979945451,0,-0.1,4.792633492939261,4.704890405554702
12000,0.1,0% Eps-Greedy / 100% Random,50/50,1,99.04412370649548,1.9958287139225421,0,-0.1,18.493290307632577,18.405547220248017
16000,0.1,0% Eps-Greedy / 100% Random,50/50,1,102.64454847638787,2.011335888636049,0,-0.1,19.502156854896356,19.414413767511796
20000,0.1,0% Eps-Greedy / 100% Random,50/50,1,104.52378596649804,2.0192151319640192,0,-0.1,4.792633492939262,4.704890405554702
4000,0.3,0% Eps-Greedy / 100% Random,50/50,1,121.75752022366353,2.085495794451579,0,-0.1,4.792633492939261,4.704890405554702
8000,0.3,0% Eps-Greedy / 100% Random,50/50,1,114.29441203574524,2.0580249978374097,0,-2.4436548100000004,9.034648699039263,6.603250801654701
12000,0.3,0% Eps-Greedy / 100% Random,50/50,1,116.64808020090615,2.0668775955514276,0,-0.1,4.792633492939261,4.704890405554702
16000,0.3,0% Eps-Greedy / 100% Random,50/50,1,106.63920413043941,2.0279168951919218,0,-0.1,18.493290307632577,18.405547220248017
20000,0.3,0% Eps-Greedy / 100% Random,50/50,1,109.68552736304423,2.0401493276565885,0,-0.1,4.792633492939262,4.704890405554702
4000,0.5,0% Eps-Greedy / 100% Random,50/50,1,109.42469503695948,2.039115344922344,0,-2.4436548100000004,10.572320619880262,8.140922722495702
8000,0.5,0% Eps-Greedy / 100% Random,50/50,1,109.42024002098213,2.0390976630979463,0,-0.1,18.493290307632577,18.405547220248017
12000,0.5,0% Eps-Greedy / 100% Random,50/50,1,123.27834922408975,2.090886810268534,0,-0.1,4.792633492939261,4.704890405554702
16000,0.5,0% Eps-Greedy / 100% Random,50/50,1,106.58565505677879,2.02769875864087,0,-0.1,4.792633492939261,4.704890405554702
