Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
20000,0.9,100% Eps-Greedy,100/0,1,134.65113165776563,2.1292100077338474,0,0.18889870462828,4.990171793866571,4.8135300018537315
4000,0.1,80% Eps-Greedy / 20% Random,100/0,1,1.7266305922976604,0.23719943143692573,1,0.30801424730435756,4.128072412777309,3.8323150780883912
8000,0.1,80% Eps-Greedy / 20% Random,100/0,1,1.828750489319031,0.26215445533761966,1,0.39852894118403753,6.252448800580499,5.866176772011902
12000,0.1,80% Eps-Greedy / 20% Random,100/0,1,1.8180546482834785,0.2596069333915915,1,0.31766482638293436,4.942409158472094,4.637001244704599
16000,0.1,80% Eps-Greedy / 20% Random,100/0,1,1.812326766060569,0.25823650454534225,1,0.3209545637344742,4.626997989218094,4.3183003380990606
20000,0.1,80% Eps-Greedy / 20% Random,100/0,1,1.8015020775185044,0.2556347672936149,1,0.3426238482498924,5.105215058561084,4.774848122926631
4000,0.3,80% Eps-Greedy / 20% Random,100/0,1,2.0825974421026974,0.31860533064423935,1,0.3196033280917483,5.087998809512786,4.780652394036477
8000,0.3,80% Eps-Greedy / 20% Random,100/0,1,2.1358266063070417,0.3295659922794211,1,0.32288660089594856,5.228138082090663,4.917508393810154
12000,0.3,80% Eps-Greedy / 20% Random,100/0,1,2.0592548199454415,0.313710091177882,1,0.2998058160648383,4.225797078357746,3.938248174908348
16000,0.3,80% Eps-Greedy / 20% Random,100/0,1,2.1467505043798507,0.3317815736084252,1,0.29930731859235915,4.72165859792971,4.434608191952791
20000,0.3,80% Eps-Greedy / 20% Random,100/0,1,2.0824857602113003,0.3185820404352241,1,0.31653791971217404,4.809693889977459,4.505412882880725
4000,0.5,80% Eps-Greedy / 20% Random,100/0,1,3.352916524958675,0.5254227412602848,1,0.2803403654913589,4.2951634096555855,4.027079956779667
8000,0.5,80% Eps-Greedy / 20% Random,100/0,1,3.099837226384661,0.49133888946687526,0,0.3138315166393859,4.673035861211342,4.371461257187396
