Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
16000,0.9,100% Eps-Greedy,100/0,0.0,81.6303817703462,0,-0.1,2.339815663588262,2.242323344272084
20000,0.9,100% Eps-Greedy,100/0,0.0,85.07134061496667,0,-0.1,2.4060073977542387,2.308515078438061
4000,0.1,80% Eps-Greedy / 20% Random,100/0,0.0,65.0926013133181,0,-0.1,1.169907831794131,1.0724155124779533
8000,0.1,80% Eps-Greedy / 20% Random,100/0,0.0,65.13153556007768,0,-0.1,0.3899692772647103,0.2924769579485327
12000,0.1,80% Eps-Greedy / 20% Random,100/0,0.0,65.14332714445928,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
16000,0.1,80% Eps-Greedy / 20% Random,100/0,0.0,65.0894201131592,0,-0.1,0.1949846386323551,0.09749231931617752
20000,0.1,80% Eps-Greedy / 20% Random,100/0,0.0,65.08603890433139,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
4000,0.3,80% Eps-Greedy / 20% Random,100/0,0.0,65.21032751299425,0,-0.36040608999999996,1.03215673581371,0.6742583264975326
8000,0.3,80% Eps-Greedy / 20% Random,100/0,0.0,65.24098387999287,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
12000,0.3,80% Eps-Greedy / 20% Random,100/0,0.0,65.19292154273249,0,-0.1,0.3899692772647103,0.2924769579485327
16000,0.3,80% Eps-Greedy / 20% Random,100/0,0.0,65.22137125067948,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
20000,0.3,80% Eps-Greedy / 20% Random,100/0,0.0,65.2340281250106,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
4000,0.5,80% Eps-Greedy / 20% Random,100/0,0.0,65.37195162395756,0,-0.36040608999999996,1.1296490551298877,0.7717506458137101
8000,0.5,80% Eps-Greedy / 20% Random,100/0,0.0,65.39182701407074,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
12000,0.5,80% Eps-Greedy / 20% Random,100/0,0.0,65.35972260568191,0,-0.1,0.1949846386323551,0.09749231931617752
16000,0.5,80% Eps-Greedy / 20% Random,100/0,0.0,65.39371921029006,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
20000,0.5,80% Eps-Greedy / 20% Random,100/0,0.0,65.36636207202551,0,-0.1,0.3899692772647103,0.2924769579485327
4000,0.7,80% Eps-Greedy / 20% Random,100/0,0.0,67.0136013159119,0,-0.1,2.2423233442720845,2.1448310249559066
8000,0.7,80% Eps-Greedy / 20% Random,100/0,0.0,67.0232656277074,0,-0.1,0.3899692772647103,0.2924769579485327
12000,0.7,80% Eps-Greedy / 20% Random,100/0,0.0,66.39372043826954,0,-0.1,0.48746159658088783,0.3899692772647103
16000,0.7,80% Eps-Greedy / 20% Random,100/0,0.0,66.44453319382445,0,-0.1,0.3899692772647103,0.2924769579485327
20000,0.7,80% Eps-Greedy / 20% Random,100/0,0.0,66.76856457476276,0,-0.1,0.48746159658088783,0.3899692772647103
4000,0.9,80% Eps-Greedy / 20% Random,100/0,0.0,100.49655750999396,0,-0.1,3.2172465374338604,3.1197542181176825
8000,0.9,80% Eps-Greedy / 20% Random,100/0,0.0,82.81573708315267,0,-0.1,3.2172465374338604,3.1197542181176825
12000,0.9,80% Eps-Greedy / 20% Random,100/0,0.0,91.07420280543379,0,-0.1,3.199600427637632,3.1021081083214543
16000,0.9,80% Eps-Greedy / 20% Random,100/0,0.0,95.78452537179533,0,-0.1,3.2172465374338604,3.1197542181176825
20000,0.9,80% Eps-Greedy / 20% Random,100/0,0.0,83.63007684454442,0,-0.1,2.5637325848869112,2.466240265570733
4000,0.1,60% Eps-Greedy / 40% Random,100/0,0.0,65.29716474658865,0,-0.1,2.5833476200357532,2.4858553007195754
8000,0.1,60% Eps-Greedy / 40% Random,100/0,0.0,65.29578385360075,0,-0.1,0.1949846386323551,0.09749231931617752
12000,0.1,60% Eps-Greedy / 40% Random,100/0,0.0,65.31397896866828,0,-0.1,0.1949846386323551,0.09749231931617752
16000,0.1,60% Eps-Greedy / 40% Random,100/0,0.0,65.32582337186034,0,-0.1,0.1949846386323551,0.09749231931617752
20000,0.1,60% Eps-Greedy / 40% Random,100/0,0.0,65.33381589187881,0,-0.1,0.1949846386323551,0.09749231931617752
4000,0.3,60% Eps-Greedy / 40% Random,100/0,0.0,65.2879090414652,0,-0.1,1.169907831794131,1.0724155124779533
8000,0.3,60% Eps-Greedy / 40% Random,100/0,0.0,65.46066812637108,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
12000,0.3,60% Eps-Greedy / 40% Random,100/0,0.0,65.4908831836137,0,-0.1,0.1949846386323551,0.09749231931617752
16000,0.3,60% Eps-Greedy / 40% Random,100/0,0.0,65.44121606716558,0,-0.1,0.1949846386323551,0.09749231931617752
20000,0.3,60% Eps-Greedy / 40% Random,100/0,0.0,65.43472955282951,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
4000,0.5,60% Eps-Greedy / 40% Random,100/0,0.0,65.53477521506547,0,-0.1,0.48746159658088783,0.3899692772647103
8000,0.5,60% Eps-Greedy / 40% Random,100/0,0.0,65.76471442785304,0,-0.1,0.1949846386323551,0.09749231931617752
12000,0.5,60% Eps-Greedy / 40% Random,100/0,0.0,65.76019602796008,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
16000,0.5,60% Eps-Greedy / 40% Random,100/0,0.0,65.63900952480775,0,-0.1,0.3899692772647103,0.2924769579485327
